snapshot_ts,system_id,n_seen,n_kept,n_reserved,status,note
2026-07-06T06:45:34,chessy,88,74,0,ok,
2026-07-06T06:45:34,serris,69,2,0,ok,
2026-07-06T06:45:34,torcy,224,145,0,ok,
2026-07-06T07:01:14,paris,1000,1000,0,ok,
2026-07-06T07:01:14,meaux,16,16,0,ok,
2026-07-06T07:01:14,chessy,88,74,0,ok,
2026-07-06T07:01:14,serris,69,2,0,ok,
2026-07-06T07:01:14,torcy,224,145,0,ok,
2026-07-06T07:15:34,paris,1000,1000,0,ok,
2026-07-06T07:15:34,meaux,16,16,0,ok,
2026-07-06T07:15:34,chessy,88,74,0,ok,
2026-07-06T07:15:34,serris,69,2,0,ok,
2026-07-06T07:15:34,torcy,224,145,0,ok,
2026-07-06T07:31:08,paris,1000,1000,0,ok,
2026-07-06T07:31:08,meaux,16,16,0,ok,
2026-07-06T07:31:08,chessy,88,74,0,ok,
2026-07-06T07:31:08,serris,69,2,0,ok,
2026-07-06T07:31:08,torcy,224,145,0,ok,
2026-07-06T07:45:35,paris,1000,1000,0,ok,
2026-07-06T07:45:35,meaux,16,16,0,ok,
2026-07-06T07:45:35,chessy,88,74,0,ok,
2026-07-06T07:45:35,serris,69,2,0,ok,
2026-07-06T07:45:35,torcy,224,145,0,ok,
2026-07-06T08:01:14,paris,1000,1000,0,ok,
2026-07-06T08:01:14,meaux,16,16,0,ok,
2026-07-06T08:01:14,chessy,88,74,0,ok,
2026-07-06T08:01:14,serris,69,2,0,ok,
2026-07-06T08:01:14,torcy,224,145,0,ok,
2026-07-06T08:15:35,paris,1000,1000,0,ok,
2026-07-06T08:15:35,meaux,16,16,0,ok,
2026-07-06T08:15:35,chessy,88,74,0,ok,
2026-07-06T08:15:35,serris,69,2,0,ok,
2026-07-06T08:15:35,torcy,224,145,0,ok,
2026-07-06T08:31:05,paris,1000,1000,0,ok,
2026-07-06T08:31:05,meaux,16,16,0,ok,
2026-07-06T08:31:05,chessy,88,74,0,ok,
2026-07-06T08:31:05,serris,69,2,0,ok,
2026-07-06T08:31:05,torcy,224,145,0,ok,
2026-07-06T08:45:37,paris,1000,1000,0,ok,
2026-07-06T08:45:37,meaux,16,16,0,ok,
2026-07-06T08:45:37,chessy,88,74,0,ok,
2026-07-06T08:45:37,serris,69,2,0,ok,
2026-07-06T08:45:37,torcy,224,145,0,ok,
2026-07-06T08:57:26,paris,1000,1000,0,ok,
2026-07-06T08:57:26,meaux,16,16,0,ok,
2026-07-06T08:57:26,chessy,88,74,0,ok,
2026-07-06T08:57:26,serris,69,2,0,ok,
